centre_code,centre_name,license_issue_date,license_tenure
PT5400,Julia Gabriel Preschool Keppel Bay,2024-01-29,36
PT8637,Julia Gabriel Preschool Mountbatten,2025-01-11,36
PT2070,Julia Gabriel Preschool Thomson,2026-01-02,36
PT9857,JUNIOR CHAMPS (GRANTRAL MALL),2026-03-15,24
PT8457,JUNIOR CHAMPS @ KOVAN PTE. LTD.,2025-04-09,36
PT9363,JUNIOR CHAMPS EDUCAMPUS PTE LTD,2025-05-18,36
PT8662,JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,2024-04-03,36
PT6020,JUNIOR PLAYWORLD CHILD CARE & DEVELOPMENT CENTRE,2024-03-22,36
RC1875,Jurong Calvary Kindergarten,2023-10-24,36
RC1816,Kampung Siglap Mosque Kindergarten,2024-11-14,24
RC1807,KAY POH ROAD BAPTIST KINDERGARTEN,2025-03-04,24
PT9445,Kensington Preschool @ Macpherson,2026-03-23,36
PT9400,Kensington Preschool @ West Coast,2025-12-01,12
PT9439,Kensington Preschool@Downtown East,2026-03-06,12
RC1859,KHALSA KINDERGARTEN,2024-10-22,36
PT7040,KIDDIE EXPLORERS PRESCHOOL,2024-09-29,24
PT9894,KIDDIWINKIE SCHOOLHOUSE @ EAST COAST,2026-04-01,12
PT9871,KIDDIWINKIE SCHOOLHOUSE @ JURONG GATEWAY,2024-08-01,24
PT9897,KIDDIWINKIE SCHOOLHOUSE @ MOUNTBATTEN,2025-04-05,24
PT9071,KIDDIWINKIE SCHOOLHOUSE @ NOVENA PTE. LTD.,2025-08-22,36
PT8406,KIDDIWINKIE SCHOOLHOUSE @ UPPER BUKIT TIMAH,2025-07-26,36
PT5280,KIDDIWINKIE SCHOOLHOUSE PTE LTD,2024-12-04,36
PT8804,Kiddiwinkie Schoolhouse Pte Ltd,2024-11-20,36
PT9542,Kiddiwinkie Schoolhouse Pte Ltd,2024-04-19,36
PT9007,Kiddiwinkie Schoolhouse Singapore Pte Ltd,2026-01-01,36
PT9027,Kiddiwinkie Schoolhouse Singapore Pte Ltd,2025-02-11,36
PT9278,KIDDIWINKIE SCHOOLHOUSE@GRANDSTAND PTE LTD,2024-07-01,36
PT9314,KIDDY UP PTE LTD,2025-12-30,36
PT2130,KIDS AND KINS CHILD CARE CENTRE,2024-10-03,36
RC1680,KIDS' KINGDOM CHILD DEVELOPMENT AND LEARNING CENTRE,2024-01-07,36
PT9696,KIDSCAMPUS (CHANGI SIMEI) PTE LTD,2025-08-01,24
PT9451,KIDSCAMPUS JW PTE LTD,2026-04-28,36
PT9478,KIDSCAMPUS WEST COAST PTE LTD,2023-08-15,36
RC0440,KIDSVILLE CHILD CARE & DEVELOPMENT CENTRE,2025-08-01,12
PT9875,Kidya Childcare (Bukit Batok) Pte Ltd,2024-09-29,24
PT9811,Kidya Childcare Pte Ltd,2024-10-07,24
PT8515,KIDZ KULTURE SCHOOLHOUSE PTE. LTD.,2025-02-01,36
RC1905,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BEDOK NORTH),2026-04-01,36
RC1719,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BUANGKOK CRESCENT),2024-11-01,36
RC1751,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BUANGKOK RIDGE),2025-02-06,36
RC0680,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (EUNOS),2024-04-01,36
RC1766,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (JURONG WEST),2026-04-27,36
RC1907,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (PASIR RIS),2023-11-19,36
RC1911,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (PUNGGOL),2024-08-01,24
RC1040,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (WOODLANDS),2025-05-01,36
RC1470,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (YEW TEE),2026-01-01,36
RC0920,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (YISHUN),2025-03-30,36
PT5670,KIDZMONTE CHILD DEVELOPMENT CENTRE,2025-10-02,12
RC1845,Kim Keat Christian Church Kindergarten,2024-03-28,36
PT9608,Kinderbridge Bilingual Preschool,2025-08-01,24
PT8693,KinderBuds Preschool,2025-09-01,36
PT1090,KINDERCAMPUS (S) PTE LTD,2025-03-09,36
PT0510,KINDERLAND PRESCHOOL,2024-07-06,36
PT1330,KINDERLAND PRESCHOOL,2024-08-01,36
PT5250,KINDERLAND PRESCHOOL,2025-05-01,36
PT5810,KINDERLAND PRESCHOOL,2025-01-02,36
PT8740,KINDERLAND PRESCHOOL,2025-03-29,36
PT9818,Kinderland Preschool,2025-07-03,36
PT9820,KINDERLAND PRESCHOOL,2024-03-01,36
PT9821,KINDERLAND PRESCHOOL,2025-01-03,24
PT9418,Kinderland Preschool (Sunshine Place),2024-09-28,24
PT9499,Kinderland Preschool (Woodlands Mart),2024-09-05,24
PT9380,Kinderland Preschool @ Loyang Point,2025-07-06,36
PT6540,Kinderland Preschool @ Upper Changi,2024-01-06,36
RC1640,KINDERYEARS CHILDCARE & DEVELOPMENT CENTRE,2025-05-07,36
RC1924,Kindle Garden @Pasir Ris,2024-04-01,36
PT9371,KINGDOM EDUCATION PTE. LTD.,2026-06-16,12
PT9230,LEAP SCHOOLHOUSE @ CITY SQUARE MALL PTE LTD,2024-02-01,36
PT8996,Learning Adventure Preschool @ Woodlands,2026-01-01,12
PT9076,LEARNING KIDZ ACADEMY PTE. LTD.,2025-09-18,12
PT8230,LEARNING KIDZ CHILD DEVELOPMENT CENTRE LLP,2024-11-18,36
PT6100,LEARNING KIDZ EDUCARE PTE. LTD.,2025-05-02,36
PT8781,LEARNING KIDZ EDUCENTRE PTE. LTD.,2026-04-01,36
WP0733,Learning Vision Changi Airport (Terminal 3),2025-01-05,36
PT9422,Learning Vision Changi Business Park,2025-12-29,36
PT9359,Learning Vision Harbourlink Innohub (Pasir Panjang),2025-05-02,36
PT8979,Learning Vision Hwa Chong Institution,2024-10-14,36
PT8995,Learning Vision Lifelong Learning Institute (Paya Lebar),2024-12-14,36
WP0330,Learning Vision Nanyang Polytechnic,2025-01-01,36
WP0210,Learning Vision Nanyang Technological University,2026-06-01,36
PT9032,Learning Vision National University Health System,2025-03-03,36
PT9465,Learning Vision Ng Teng Fong General Hospital,2026-06-21,36
PT9449,Learning Vision Sengkang General Hospital,2026-05-02,36
PT6170,Learning Vision Sunshine Place (Choa Chu Kang),2024-07-01,36
WP0280,Learning Vision Tan Tock Seng Hospital,2024-12-02,36
WP0610,Learning Vision TechPoint (Ang Mo Kio),2025-06-03,36
PT4770,Learning Vision Vista Point (Woodlands),2024-03-26,36
PT9890,Learning Vision Woodlands Hospital,2025-03-06,24
PT0920,LEARNINGHILL EDUCARE PTE LTD,2024-01-01,36
PT9025,LEARNINGWELL PRESCHOOL @ TECK WHYE PTE. LTD.,2024-08-03,36
PT9918,LEARNINGWELL PRESCHOOL @ TWIN VEW,2025-12-11,24
PT9699,LeClare @ Shenton Pte. Ltd.,2024-08-15,36
PT9789,Leeds Montessori,2026-04-08,36
PT9807,LES OLIVIERS,2024-10-03,24
PT9193,LES PETITS GAULOIS PTE. LTD.,2026-05-12,36
PT9200,Lillipods North View,2023-10-29,36
PT9034,Lillipods NorthStar,2025-04-01,24
PT9835,Lily Valley Preschool,2025-07-01,24
PT8596,LITTLE BIG PRE-SCHOOL PTE. LTD.,2024-06-25,36
RC1370,Little Dolphins Playskool,2025-05-01,36
RC1590,LITTLE DOLPHINS PLAYSKOOL,2024-06-18,36
RC1745,LITTLE DOLPHINS PLAYSKOOL,2024-06-01,36
PT8534,Little Explorers Cove @ Boon Lay,2026-04-17,36
PT2480,LITTLE FAIRYLAND CHILD CARE & DEVELOPMENT CENTRE,2024-02-02,36
PT9244,LITTLE FOOTPRINTS PRESCHOOL,2025-03-24,36
PT9421,Little Footprints Preschool @ Boon Keng Pte Ltd,2026-01-01,36
PT3100,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2025-11-17,36
PT9113,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2024-04-28,36
PT9128,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2023-10-16,36
PT9131,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2026-04-23,36
PT9169,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2023-08-01,36
PT9340,LITTLE FOOTPRINTS PRESCHOOL ASIA PTE. LTD.,2025-02-10,36
PT9015,Little Footprints Preschool Group Pte Ltd,2025-02-01,36
PT9020,Little Footprints Preschool Group Pte Ltd,2025-02-01,36
PT9021,Little Footprints Preschool Group Pte Ltd,2025-02-01,36
PT9023,Little Footprints Preschool Group Pte Ltd,2025-02-01,36
PT9024,Little Footprints Preschool Group Pte Ltd,2025-02-01,36
PT9234,Little Footprints Preschool Group Pte Ltd,2023-09-01,36
PT9247,Little Footprints Preschool Group Pte Ltd,2024-04-01,36
PT9271,Little Footprints Preschool Group Pte Ltd,2024-07-01,36
PT9272,Little Footprints Preschool Group Pte Ltd,2024-07-01,36
PT9273,Little Footprints Preschool Group Pte Ltd,2024-07-01,36
PT8685,Little Footprints Preschool Pte Ltd,2025-08-01,36
PT8696,Little Footprints Preschool Pte Ltd,2024-01-01,36
PT8990,Little Footprints Preschool Pte Ltd,2025-12-01,36
PT9008,Little Footprints Preschool Pte Ltd,2026-01-01,36
PT9011,Little Footprints Preschool Pte Ltd,2026-01-02,36
PT9017,Little Footprints Preschool Pte Ltd,2025-02-01,36
PT9060,Little Footprints Preschool Pte Ltd,2025-08-02,36
PT9090,Little Footprints Preschool Pte Ltd,2025-12-01,36
PT9153,Little Footprints Preschool Pte Ltd,2024-07-01,36
PT9156,Little Footprints Preschool Pte Ltd,2026-07-01,36
PT9158,Little Footprints Preschool Pte Ltd,2026-07-01,36
PT9159,Little Footprints Preschool Pte Ltd,2026-07-01,36
PT9245,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,2025-04-01,36
PT9258,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,2024-05-05,36
PT9276,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,2024-07-01,36
PT9304,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,2025-10-10,24
PT9701,Little Footprints Preschool Pte Ltd,2025-09-01,24
PT1900,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2025-09-04,36
PT8539,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2025-07-01,36
PT8572,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-01-07,36
PT8688,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2025-08-01,36
PT8703,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-05-01,36
PT8924,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-03-12,36
PT9012,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2025-01-03,36
PT9073,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-08-28,24
PT9098,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2026-01-01,24
PT9243,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-04-01,36
PT9260,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2024-05-16,36
PT9397,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,2025-11-01,36
PT8414,LITTLE FOOTPRINTS SCHOOLHOUSE (YISHUN) PTE. LTD.,2025-09-27,36
PT9804,LITTLE GREENHOUSE @ ALJUNIED PTE. LTD.,2026-02-11,24
PT9037,Little Greenhouse @ Anchorvale Pte Ltd,2025-03-06,24
PT8412,LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD,2025-05-26,36
PT9149,Little Greenhouse @ Fernvale Pte Ltd,2025-12-01,24
PT8972,LITTLE GREENHOUSE @ HOUGANG PTE LTD,2025-09-01,24
PT9056,LITTLE GREENHOUSE @ JW 502 PTE. LTD.,2025-07-07,36
PT9293,Little Greenhouse @ Punggol Pte Ltd,2024-09-01,36
PT6330,Little Greenhouse @ Rivervale SB Pte Ltd,2025-09-10,36
PT9086,LITTLE GREENHOUSE @ RIVERVALE WK PTE LTD,2025-12-01,36
PT7880,LITTLE GREENHOUSE @ S540 PTE LTD,2025-12-01,36
PT3300,LITTLE GREENHOUSE @ S553 PTE LTD,2025-05-23,36
PT9112,Little Greenhouse @ Sembawang Pte Ltd,2026-03-01,36
PT8140,LITTLE GREENHOUSE @ TAMPINES EAST PTE. LTD.,2025-11-21,36
PT8974,LITTLE GREENHOUSE @ TAMPINES PTE. LTD.,2025-09-01,24
PT8939,LITTLE GREENHOUSE @ WOODLANDS PTE. LTD.,2024-05-01,36
PT8774,LITTLE GREENHOUSE CHILDCARE & DEVELOPMENT PTE. LTD.,2025-08-03,36
PT9121,Little Kinder Montessori @ Hillview,2026-03-31,36
PT9315,Little Kinder Montessori @ Kent Ridge,2024-01-01,36
PT9308,Little Kinder Montessori @ Marymount Pte Ltd,2024-11-15,36
PT9913,Little Kinder Montessori @ Pasir Panjang Pte. Ltd.,2026-07-01,24
PT8943,Little Kinder Montessori @ Westwood Pte. Ltd.,2026-06-01,36
RC0810,Little Learners Childcare Ltd,2026-01-16,36
PT9678,LITTLE OAKS MONTESSORI PLAYGROUP PTE LTD,2024-11-04,36
PW0020,Little Olive Tree,2025-02-01,36
PW0040,Little Olive Tree,2024-08-01,36
PW0060,Little Olive Tree,2025-08-01,36
PW0080,Little Olive Tree,2025-02-01,36
PW0090,Little Olive Tree,2024-10-04,36
PW0100,LITTLE OLIVE TREE,2025-01-11,36
PW0110,Little Olive Tree,2024-11-02,36
PW0120,Little Olive Tree,2024-10-01,36
PW0121,Little Olive Tree,2024-07-01,36
PW0122,Little Olive Tree,2025-06-08,36
RC0500,Little Olive Tree,2026-06-04,24
RC1020,Little Olive Tree (Bethany),2024-08-01,36
RC1888,Little Olive Tree (Bethesda Depot Walk),2023-11-05,36
PT9773,Little Olive Tree (FMC Farrer Park),2026-04-01,24
RC1560,Little Olive Tree (Rochor),2024-03-01,36
RC1923,Little Olive Tree (Thomson),2026-01-01,12
PT9050,LITTLE OXFORD @ BARTLEY PTE LTD,2025-07-01,36
PT9887,LITTLE OXFORD @ EAST COAST PTE LTD,2025-02-24,24
PT9830,Little Oxford @ SK02 Pte Ltd,2025-05-03,24
PT9824,Little Oxford @ SK48 Pte. Ltd.,2025-02-25,24
PT9802,Little Paddington Preschool and Infant Care Kent Ridge,2026-07-02,36
PT9206,Little Paddington Preschool Balmoral Private Limited,2025-03-05,36
PT9783,Little Paddington Preschool Bartley,2026-02-19,36
PT9521,LITTLE PADDINGTON PRESCHOOL EC PTE LTD,2024-02-01,36
PT9182,LITTLE PADDINGTON PRESCHOOL SERANGOON PTE. LTD.,2024-09-01,36
PT9845,Little Paddington Preschool Stirling Pte Ltd,2025-11-14,24
PT9457,LITTLE PADDINGTON PRESCHOOL TANGLIN PARK PTE LTD,2026-06-01,36
PT9305,LITTLE PADDINGTON PRESCHOOL TANGLIN PTE LTD,2024-10-17,36
PT9447,Little Paddington Preschool Thomson Walk Pte. Ltd.,2026-04-07,36
PT9914,Little Paddington Preschool Winchester Pte Ltd,2025-11-07,24
PT9815,Little Petals @ Symphony Pte Ltd,2024-11-21,24
RC0090,Little Seeds Preschool,2025-06-27,36
RC0430,Little Seeds Preschool,2024-12-27,36
RC0470,Little Seeds Preschool,2025-07-15,36
RC0610,Little Seeds Preschool,2024-03-17,36
RC1400,Little Seeds Preschool,2024-08-01,36
RC1824,Little Seeds Preschool,2026-01-01,24
RC1825,Little Seeds Preschool,2024-12-30,24
RC1877,Little Seeds Preschool,2026-01-01,24
RC1878,Little Seeds Preschool,2026-01-02,24
RC1886,Little Seeds Preschool,2026-01-01,24
RC1896,Little Seeds Preschool,2024-09-26,36
RC1897,Little Seeds Preschool,2025-10-01,24
RC1900,Little Seeds Preschool,2025-11-26,36
RC1901,Little Seeds Preschool,2024-01-02,36
RC1902,Little Seeds Preschool,2025-05-27,36
RC1903,Little Seeds Preschool,2025-09-23,36
RC1904,Little Seeds Preschool,2026-01-04,36
RC0420,Little Shepherds' Schoolhouse@Church of Our Lady Star of the Sea,2026-06-16,36
RC1220,Little Shepherds' Schoolhouse@Church of St Anthony,2026-03-15,36
RC1830,Little Shepherds' Schoolhouse@Church of St Francis of Assisi-JW,2025-03-17,36
RC1867,Little Shepherds' Schoolhouse@Church of St Francis Xavier,2024-03-28,36
RC1803,Little Shepherds' Schoolhouse@Church of the Holy Trinity,2024-02-09,36
RC1690,Little Shepherds' Schoolhouse@St Joseph's Church,2025-04-11,36
PT9692,Little Skittles International Preschool,2025-03-13,24
PT9819,Little Sprouts Montessori,2025-01-14,24
PT7310,LITTLE TALENT CHILDCARE CENTRE PTE. LTD.,2024-09-01,36
PT3740,LITTLE TREASURES CHILDCARE @ HOUGANG PTE.LTD.,2024-08-01,36
PT9343,LITTLE TREASURES CHILDCARE @ WDLS CIRCLE PTE LTD,2025-02-17,36
PT8848,LITTLE TREASURES CHILDCARE(WOODLANDS) PTE. LIMITED,2024-06-28,36
PT9077,LITTLE TREE HOUSE @ HOUGANG PTE. LTD.,2023-10-01,36
PT9905,Little Unicorn Preschool,2025-07-16,24
PT8433,LITTLE VILLAGE ON THE GRANGE,2025-01-03,36
PT9681,Little Woods Montessori,2024-09-23,24
PT9642,LITTLESPARKS MONTESSORI AND ENRICHMENT CENTRE PTE LTD,2024-12-19,36
PT9796,Living Sanctuary Childcare,2026-06-01,36
PT9579,Lodestar Montessori Preschool Pte Ltd,2023-09-10,36
PT9165,Lorna Whiston (Canberra),2025-10-14,36
PT8980,Lorna Whiston (East Coast),2025-04-11,36
PT9219,Lorna Whiston (Greenwich),2026-06-09,24
PT6560,Lorna Whiston (Hort Park),2024-01-13,36
PT8690,Lorna Whiston (Kallang Wave),2025-03-01,36
PT9661,Lumiere Montessori House,2026-03-02,24
PT9870,LUMIERE MONTESSORI HOUSE @ MACPHERSON,2024-07-27,24
PT9635,Lumiere Montessori House Pte Ltd,2024-09-11,36
PT9932,Lumina International School,2025-09-01,12
RC1785,LUTHER PRESCHOOL,2026-01-01,36
RC1710,MACPHERSON SHENG HONG CHILDCARE CENTRE,2025-01-11,36
PT9061,MAPLE BEAR ACADEMY PTE. LTD.,2025-07-21,36
PT6360,MAPLE BEAR EDUCARE PTE LTD,2025-03-13,36
PT9176,MAPLE BEAR EDUCARE PTE. LTD.,2023-08-19,36
PT9520,MAPLE BEAR EDUCARE PTE. LTD.,2024-01-14,36
PT9536,MAPLE BEAR LEARNING PLACE PTE. LTD.,2024-03-22,36
PT9920,Maple Bear Newton,2026-01-27,24
PT9231,MAPLE BEAR PLAYHOUSE PTE. LTD.,2025-02-02,36
PT9251,MAPLE BEAR PRESCHOOL PTE. LTD.,2023-10-13,36
PT9656,MAPLEBEAR ADAM,2025-01-02,24
PT9755,MAPLEBEAR ALPHA,2025-09-01,36
PT8683,Maplebear Bright Learners Pte. Ltd.,2025-06-24,36
PT9393,MAPLEBEAR DEVELOPMENT CENTRE PTE LTD,2025-10-26,36
PT9487,MAPLEBEAR DISCOVERY LAND PTE. LTD.,2023-09-27,36
PT9433,MAPLEBEAR DISCOVERY PTE LTD,2026-02-01,36
PT9405,MAPLEBEAR EARLY ACHIEVERS PTE LTD,2025-11-13,36
PT9743,MapleBear Early Development Pte Ltd,2025-03-09,36
PT9352,MAPLEBEAR EARLY LEARNING PTE LTD,2025-03-21,36
PT9524,MAPLEBEAR EARLY YEARS PTE LTD,2024-02-01,36
PT9453,MAPLEBEAR ELITE PRESCHOOL PTE LTD,2026-05-12,36
PT9349,MAPLEBEAR EXPLORERS PTE. LTD.,2025-03-20,36
PT9651,MapleBear Gracefields Pte Ltd,2023-12-27,36
PT8597,MAPLEBEAR GRANDSTAND PTE LTD,2024-12-20,24
PT9791,MapleBear Joyful Woods PreSchool Pte Ltd,2026-04-20,36
PT9747,MapleBear Jubilee Pte Ltd,2025-04-01,36
PT9300,MapleBear Juniors Pte Ltd,2024-10-01,36
PT9537,MAPLEBEAR JUNIORS PTE. LTD.,2024-03-22,36
PT8791,MapleBear Jurong Lakeside,2025-12-28,24
PT9816,Maplebear Kids Adventure Pte Ltd,2024-12-06,24
PT9900,MapleBear Kids Campus Pte Ltd,2025-05-16,24
PT9280,MAPLEBEAR KIDS' KINGDOM PTE. LTD.,2024-07-11,36
PT9432,MAPLEBEAR LEARNING CENTRE PTE LTD,2026-02-01,36
PT9428,MAPLEBEAR LEARNING GARDEN PTE LTD,2026-01-15,36
PT9448,MAPLEBEAR LEARNING HOUSE PTE LTD,2026-04-07,36
PT9493,MAPLEBEAR LEARNING LADDER PTE LTD,2023-12-15,36
PT9749,MAPLEBEAR LEARNING POINT PTE LTD,2025-05-11,36
PT9506,MAPLEBEAR LEARNING SCHOOLHOUSE PTE LTD,2023-12-01,36
PT9728,MapleBear Lighthouse Pte Ltd,2025-01-01,36
PT9338,MAPLEBEAR LITTLE CAMPUS PTE LTD,2025-02-04,36
PT9814,MAPLEBEAR LITTLE FEATS PTE LTD,2024-11-19,24
PT9365,MAPLEBEAR LITTLE GEMS PTE LTD,2025-05-29,36
PT9364,MAPLEBEAR LITTLE LIGHTHOUSE PTE LTD,2025-05-13,36
PT8160,MapleBear Little Schoolhouse Pte Ltd,2025-04-28,24
PT9724,MapleBear Mediapolis,2024-12-03,36
PT9930,MAPLEBEAR MOUNTBATTEN,2025-08-04,12
PT9917,MapleBear Novena,2025-12-04,24
PT9944,MapleBear Playworks @ BT Pte Ltd,2026-02-13,12
PT9778,MAPLEBEAR PLAYWORKS @CBP PTE LTD,2026-01-18,36
PT9734,MapleBear Playworks Pte.Ltd.,2025-02-01,36
PT9237,MAPLEBEAR PREP SCHOOL PTE LTD,2026-01-30,36
PT9803,MAPLEBEAR REDHILL,2024-08-04,24
PT9198,MAPLEBEAR SCHOOLHOUSE PTE. LTD.,2023-11-01,36
PT9531,MAPLEBEAR SHINING STARS PTE LTD,2024-03-01,36
PT9286,MAPLEBEAR SMART LEARNERS PTE LTD,2024-07-19,36
PT9297,MAPLEBEAR SMARTCUBS PTE. LTD.,2024-09-01,36
PT9923,MAPLEBEAR TAPESTRY,2026-04-24,24
PT9829,MapleBear Tiny Learners Pte Ltd,2025-04-24,24
PT9813,MapleBear Tree House Pte Ltd,2024-11-16,36
PT9466,MAPLEBEAR WHIZ KIDS PTE. LTD.,2026-07-01,36
PT9954,Marist Preschool Pte Ltd,2026-07-01,12
RC1857,Marymount Preschool,2026-05-08,12
PT8689,MASTERMINDS MONTESSORI HILLVIEW PTE. LTD.,2025-08-06,36
PT9602,MASTERMINDS MONTESSORI KINDERGARTEN,2023-09-26,36
PT8718,MASTERMINDS MONTESSORI SENGKANG PTE. LTD.,2026-05-29,36
PT9638,MFC KINDERGARTEN,2024-03-24,36
PT9666,MFC KINDERGARTEN,2025-03-30,24
PT9732,Milagros de Montessori School - Queens Close,2026-07-01,24
PT9387,MINDCHAMPS CHINESE PRESCHOOL @ CECIL ST PTE LTD,2025-09-14,36
PT9888,MindChamps Chinese PreSchool @ Dairy Farm,2025-03-01,24
PT9229,MINDCHAMPS CHINESE PRESCHOOL@TAMPINES CENTRAL PRIVATE LIMITED,2024-01-29,36
PT9386,MINDCHAMPS CHINESE PRESCHOOL@THOMSON PTE. LIMITED,2025-09-13,36
PT8598,MindChamps Performing Arts International PreSchool @ Changi Business Park PTE LTD,2024-07-01,36
PT8994,MindChamps Performing Arts International PreSchool @ Marina Square,2023-11-11,36
PT8983,MindChamps Performing Arts International PreSchool @ Upper Thomson Pte Ltd,2024-10-22,36
PT9950,MindChamps Performing Arts Preschool @ Loyang,2026-05-07,12
PT9074,MINDCHAMPS PRESCHOOL @ BEDOK PTE. LTD.,2025-09-03,36
PT8925,MINDCHAMPS PRESCHOOL @ BISHAN PTE. LTD.,2025-03-19,36
PT9468,MINDCHAMPS PRESCHOOL @ BUONA VISTA PTE LTD,2023-08-01,36
PT9306,MINDCHAMPS PRESCHOOL @ CHANGI AIRPORT,2025-04-29,36
PT8653,MINDCHAMPS PRESCHOOL @ CITY SQUARE PTE. LTD,2025-03-03,36
PT8575,MindChamps PreSchool @ East Coast,2025-02-01,36
PT9177,MINDCHAMPS PRESCHOOL @ HOLLAND V PTE. LTD.,2023-09-01,36
PT8704,MINDCHAMPS PRESCHOOL @ JTC SUMMIT PTE. LTD.,2024-11-03,36
PT8910,MINDCHAMPS PRESCHOOL @ JURONG WEST PTE. LTD.,2024-01-04,36
PT8727,MINDCHAMPS PRESCHOOL @ MBC PTE. LTD.,2025-02-01,36
PT9505,MINDCHAMPS PRESCHOOL @ NORDCOM II PTE. LIMITED,2023-12-06,36
PT8730,MINDCHAMPS PRESCHOOL @ PARAGON PTE. LIMITED,2024-02-18,36
PT9907,MindChamps PreSchool @ Pasir Ris,2025-08-01,24
PT9259,MindChamps PreSchool @ Punggol Digital District,2024-05-09,36
PT8992,MINDCHAMPS PRESCHOOL @ RIVER VALLEY PTE. LTD.,2024-12-12,36
PT9858,MindChamps PreSchool @ Sengkang Pte Ltd,2026-03-20,24
PT8908,MINDCHAMPS PRESCHOOL @ SERANGOON PTE. LIMITED,2025-12-29,36
PT9419,Mindchamps Preschool @ Stevens Pte. Ltd.,2025-12-26,36
PT8609,MINDCHAMPS PRESCHOOL @ TAMPINES CENTRAL 6 PTE. LTD.,2024-08-15,36
PT9760,Mindchamps Preschool @ Temasek Club Pte Ltd,2025-11-02,36
PT8524,MINDCHAMPS PRESCHOOL @ TPY PTE. LIMITED,2025-04-21,36
PT9175,MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED,2023-09-02,36
PT8962,MindChamps PreSchool @ Woodlands,2024-07-09,36
PT9043,MINDCHAMPS PRESCHOOL @ YIO CHU KANG PTE. LTD.,2025-05-15,36
PT9188,MINDCHAMPS PRESCHOOL @ YISHUN PTE. LTD.,2023-10-01,36
PT8958,MINDCHAMPS PRESCHOOL @ ZHONGSHAN PARK PTE. LTD.,2024-07-01,36
PT9130,MINDCHAMPS PRESCHOOL @JUNCTION 10 PTE LIMITED,2026-04-23,36
PT9469,MINDCHAMPS PRESCHOOL@BOON KENG PTE LTD,2026-07-09,36
PT9464,MINDCHAMPS PRESCHOOL@FUSION PTE LTD,2026-06-25,36
PT9410,MINDCHAMPS PRESCHOOL@ONE RAFFLES PLACE PTE.LTD,2025-12-01,36
PT9253,MINDCHAMPS PS @ BUANGKOK PTE.LIMITED,2024-04-20,36
PT8375,MLC (BEDOK RESERVOIR) PTE. LTD.,2025-02-01,36
PT9134,MLC (PASIR RIS) PTE. LTD,2026-05-01,36
PT9137,MLC (SEMBAWANG) PTE. LTD.,2026-05-01,36
PT9135,MLC (YISHUN) PTE. LTD.,2026-05-01,36
PT9481,MLK EDUCATION PTE. LTD.,2023-08-14,36
PT9885,MMI HOLLAND GROVE PTE LTD,2025-02-05,24
PT4910,MONTESSORI @ GRACELAND PTE LTD,2025-10-01,36
PT9649,Montessori Children's House,2024-02-06,36
RC1150,MORIAH CHILD CARE AND DEVELOPMENT CENTRE,2024-03-09,36
PT9831,MOSAIC PRESCHOOL EUNOS,2025-05-16,36
PT8437,Mosaic Preschool Siglap Pte Ltd,2025-01-11,36
RC1876,Muhammadiyah Kindergarten,2024-03-05,36
RC1811,Mujahidin Mosque Kindergarten,2023-09-12,36
PT9788,MULBERRY LEARNING  CENTRE @ SIXTH AVENUE PTE. LTD.,2026-04-07,36
PT9412,Mulberry Learning @ Bedok,2025-12-01,36
